Food,Serving,Calories,food_image
Peanut Oil,1 tbsp (14 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
Poppy Seed Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/black-coffee-with-poppy-seed-strudel.jpg
Pumpkin Seed Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Rice Bran Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Safflower Oil,1 tbsp (14 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Salmon Oil,1 tbsp (14 ml),128 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Sesame Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/03/loaf-of-bread-with-black-sesame-seeds-in-a-bakery.jpg
Shea Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Soy Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/fried-salmon-with-sweet-soy-sauce-in-a-korean-restaurant.jpg
Sunflower Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Tomato Seed Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/pasta-tomatoes-and-other-italian-ingredients-1.jpg
Vegetable Oil,1 tbsp (15 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Walnut Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/walnuts-in-a-jar.jpg
Wheat Germ Oil,1 tbsp (14 ml),130 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Alphabet Soup,1 cup (248 g),62 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Bean Stew,1 cup (252 g),335 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/beef-potato-stew.jpg
Beef Bouillon,1 cup (240 g),7 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/12/ground-beef-rice-bowl.jpg
Beef Noodle Soup,1 cup (244 g),83 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Beef Soup,1 cup (213 g),70 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Broccoli Cheese Soup,1 can (303 g),264 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Broccoli Soup,1 cup (237 g),206 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cabbage Soup,1 cup (245 g),69 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Carrot Ginger Soup,1 serving (381 g),95 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Carrot Soup,1 serving (381 g),95 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Chicken Bouillon,1 cup (241 g),10 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Broth,1 cup (244 g),39 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/03/homemade-chicken-broth-with-vegetables.jpg
Chicken Gumbo Soup,1 cup (244 g),56 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Chicken Noodle Soup,1 cup (248 g),62 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Chicken Stock,1 cup (244 g),39 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Chicken Vegetable Soup,1 cup (248 g),77 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Chicken with Rice Soup,1 cup (243 g),58 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cream of Asparagus Soup,1 cup (244 g),85 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cream of Broccoli Soup,1 serving (310 g),140 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cream of Celery Soup,1 cup (248 g),92 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/11/wonderful-healthy-celery.jpg
Cream of Chicken Soup,1 cup (244 g),117 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cream of Mushroom Soup,1 cup (248 g),97 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/creamy-mushroom-soup.jpg
Cream of Onion Soup,1 cup (244 g),107 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Cream of Potato Soup,1 cup (244 g),73 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Creamy Chicken Noodle Soup,1 cup (245 g),56 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/creamy-mushroom-soup.jpg
French Onion Soup,1 cup (243 g),56 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Golden Mushroom Soup,1 cup (248 g),161 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/mushroom-soup.jpg
Instant Ramen,1 package (85 g),371 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/barbecued-grilled-dark-ramen.jpg
Lentil Soup,1 cup (248 g),139 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/red-lentils-soup-with-tomatoes-sour-cream-and-mint.jpg
Lobster Bisque Soup,1 cup (248 g),248 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Meatball Soup,1 cup (245 g),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Minestrone,1 cup (241 g),82 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/minestrone-soup.jpg
Mushroom Soup,1 cup (244 g),85 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/mushroom-soup.jpg
Noodle Soup,1 cup (244 g),83 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Onion Soup,1 cup (243 g),56 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Oxtail Soup,1 cup (244 g),68 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Pea Soup,1 cup (253 g),190 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Potato Soup,1 serving (240 g),192 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Pumpkin Soup,1 cup (245 g),71 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Ramen,1 package (85 g),371 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/barbecued-grilled-dark-ramen.jpg
Scotch Broth,1 cup (241 g),80 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/03/homemade-chicken-broth-with-vegetables.jpg
Thai Soup,1 cup (245 g),147 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/extremely-hot-thai-soup.jpg
Tomato Rice Soup,1 cup (247 g),116 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Tomato Soup,1 cup (248 g),74 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Vegetable Beef Soup,1 cup (244 g),76 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Vegetable Broth,1 cup (235 g),12 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/03/homemade-chicken-broth-with-vegetables.jpg
Vegetable Soup,1 cup (241 g),67 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Vegetable Stock,1 cup (235 g),12 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/chicken-steak-with-vegetables-and-beer.jpg
Wedding Soup,1 cup (245 g),130 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/pumpkin-soup.jpg
Ben and Jerry’s,1 scoop (92 g),210 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/03/letter-cake.jpg
Butter Pecan Ice Cream,1 scoop (113 g),280 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
Chocolate Chip Ice Cream,1 scoop (72 g),155 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/mint-chocolate-ice-cream-studio-shot.jpg
Chocolate Ice Cream,1 scoop (72 g),156 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/mint-chocolate-ice-cream-studio-shot.jpg
Coffee Ice Cream,1 scoop (72 g),170 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/08/coffee.jpg
Cold Stone Creamery,1 scoop (142 g),329 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/gin-and-tonic-cocktail-with-orange-and-thyme.jpg
Cookie Dough Ice Cream,1/2 cup (65 g),130 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/07/eclairs-in-foil-container.jpg
Dairy Milk McFlurry,1 mcflurry (183 g),340 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/homemade-ricotta-cheese.jpg
Double Rainbow,1 scoop (72 g),185 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/07/double-beef-burger.jpg
French Vanilla Ice Cream,1 scoop (72 g),145 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/ice-cream-cone.jpg
Healthy Choice,1 bar (64 g),80 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/05/balanced-diet.jpg
Hot Fudge Sundae,1 sundae (179 g),333 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/ice-cream-sundae-with-fresh-fruits.jpg
Ice Cream Sandwich,1 bar (112 g),265 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/open-sandwich-with-salmon-cream-avocado.jpg
Ice Cream Sundae,1 sundae (178 g),253 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/ice-cream-sundae-with-fresh-fruits.jpg
Ice Milk,1 scoop (103 g),164 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/milk-and-cookies.jpg
Magnum Almond,1 magnum (86 g),271 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/11/peeled-almonds-with-coconut-and-blueberries.jpg
Magnum Double Caramel,1 magnum (86 g),305 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/pudim-de-leite-condensado.jpg
Magnum Double Chocolate,1 magnum (86 g),327 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/07/double-beef-burger.jpg
Magnum Gold,1 magnum (85 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/03/iced-black-coffee-with-golden-spoon.jpg
Magnum White,1 magnum (86 g),255 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/white-muffin-with-blueberries-on-a-white-background.jpg
McFlurry Oreo,1 mcflurry (183 g),340 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/oreo-close-up.jpg
Mini Milk,1 mini milk (25 g),30 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/milk-and-cookies.jpg
Mint Chocolate Chip Ice Cream,1 scoop (72 g),172 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/mint-chocolate-ice-cream-studio-shot.jpg
Rocky Road Ice Cream,1 scoop (113 g),290 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/10/two-scoops-of-creamy-ice-cream-1.jpg
Snickers Ice Cream,1 bar (50 g),180 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/10/two-scoops-of-creamy-ice-cream-1.jpg
Soft Serve,1 cup (86 g),191 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/10/toasted-bread-with-soft-cheese-walnuts-and-honey.jpg
Strawberry Ice Cream,1 scoop (72 g),170 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/strawberry-ice-cream-cone.jpg
Strawberry Sundae,1 sundae (178 g),281 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/ice-cream-sundae-with-fresh-fruits.jpg
Sundae,1 scoop (72 g),155 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/ice-cream-sundae-with-fresh-fruits.jpg
Turkey Hill,1 sandwich (70 g),190 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/woman-cutting-turkey-thigh.jpg
Vanilla Cone,1 cone (142 g),230 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/ice-cream-cone.jpg
Vanilla Ice Cream,1 scoop (72 g),145 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/ice-cream-cone.jpg
Cannelloni,2 oz. (56 g),82 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/cannelloni-de-beringela.jpg
Cellophane Noodles,1 cup (140 g),491 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/06/oyster-sauce-noodles-with-beef-meat-scaled.jpg
Cheese Tortellini,1 cup (113 g),329 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/03/tasting-cheese-in-a-cheese-factory-1.jpg
Dumpling Dough,2 oz. (56 g),55 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/czech-roasted-duck-with-sauerkraut-and-dumplings.jpg
Durum Wheat Semolina,2 oz. (56 g),222 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Egg Noodles,1 cup (38 g),146 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/08/high-protein-brunch-with-poached-eggs-beans-and-bacon.jpg
Fusilli,2 oz. (56 g),197 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/pasta-fusilli-prepared-for-cooking.jpg
Glass Noodles,2 oz. (56 g),108 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/07/woman-eating-beet-glass-noodles.jpg
Linguine,2 oz. (56 g),200 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/fresh-pasta-linguine-with-dill-and-vegetables.jpg
Low Carb Pasta,2 oz. (56 g),158 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/cauliflower-rice-low-carb.jpg
Penne,2 oz. (56 g),197 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/food6.jpg
Penne Rigate,2 oz. (56 g),207 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/food6.jpg
Pierogi,3 pierogi (100 g),200 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/11/baked-pierogies.jpg
Ravioli,2 oz. (56 g),43 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/making-homemade-ravioli.jpg
Rigatoni,2 oz. (56 g),198 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/07/pasta-rigatoni-meal.jpg
Shirataki Noodles,2 oz. (56 g),10 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/06/oyster-sauce-noodles-with-beef-meat-scaled.jpg
Soy Noodles,2 oz. (56 g),121 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/fried-salmon-with-sweet-soy-sauce-in-a-korean-restaurant.jpg
Spaghetti,2 oz. (56 g),207 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/pasta-spaghetti-with-basil-and-a-wooden-spoon.jpg
Spinach Tortellini,1 cup (102 g),320 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/pork-stuffed-with-spinach.jpg
Tagliatelle,2 oz. (56 g),207 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/pasta-tagliatelle-with-asparagus-and-tomatoes.jpg
Whole Grain Noodles,2 oz. (56 g),194 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/perfect-wholegrain-bread.jpg
Whole Grain Spaghetti,2 oz. (56 g),197 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/perfect-wholegrain-bread.jpg
BBQ Chicken Pizza,1 slice (132 g),309 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
BBQ Pizza,1 slice (140 g),314 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Beef Pizza,1 slice (235 g),714 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Bianca Pizza,1 slice (187 g),460 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Buffalo Chicken Pizza,1 slice (238 g),600 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Calabrese Pizza,1 slice (108 g),254 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Capricciosa Pizza,1 slice (74 g),192 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Cheese Pizza,1 slice (63 g),168 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/the-mushroom-pizza.jpg
Chicken Pizza,1 slice (132 g),309 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Deep Dish Pizza,1 slice (118 g),313 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Dominos Philly Cheese Steak Pizza,1 slice (159 g),356 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/the-mushroom-pizza.jpg
Four Cheese Pizza,1 slice (113 g),250 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/the-mushroom-pizza.jpg
Goat Cheese Pizza,1 slice (63 g),138 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/grilled-goat-cheese-salad.jpg
Grilled Pizza,1 slice (124 g),280 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Hawaiian Pizza,1 slice (134 g),154 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/hawaiian-poke-bowl.jpg
Margherita Pizza,1 slice (63 g),173 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Mozzarella Pizza,1 slice (62 g),154 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/09/homemade-pizza.jpg
Mushroom Pizza,1 slice (288 g),611 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/crusty-pizza-with-salami-mushrooms-and-onion.jpg
Napoli Pizza,1 slice (123 g),248 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
New York Style Pizza,1 slice (103 g),174 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/empty-champagne-glasses-on-new-years-eve.jpg
Pepperoni Pizza,1 slice (71 g),181 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Pizza Dough,2 oz. (57 g),130 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/making-dough.jpg
Pizza Hut Stuffed Crust Pizza,1 slice (149 g),380 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Pizza Hut Supreme Pizza,1 slice (123 g),305 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Pizza Rolls,1 roll (14 g),35 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/vegetable-tortilla-roll-ups.jpg
Quattro Formaggi Pizza,1 slice (133 g),330 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Red Pepper Pizza,1 slice (86 g),165 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Salami Pizza,1 slice (71 g),181 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/08/pizza-salami-close-up.jpg
Sausage Pizza,1 slice (72 g),177 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/pizza-with-italian-sausage.jpg
Seafood Pizza,1 slice (76 g),186 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/08/muscles.jpg
Shrimp Pizza,1 slice (91 g),190 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/03/cooking-shrimps-with-spinach-outside-camping-1.jpg
Sicilian Pizza,1 slice (133 g),321 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Spinach Feta Pizza,1 slice (62 g),150 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/06/salad-with-shrimps-and-feta-cheese-1-scaled.jpg
Spinach Pizza,1 slice (62 g),145 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/07/pork-stuffed-with-spinach.jpg
Stuffed Crust Pizza,1 slice (149 g),380 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/stuffed-bell-pepper-rice.jpg
Tarte Flambée,1 square (56 g),142 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/pumpkin-tarte-flambee.jpg
Thin Crust Pizza,1 slice (60 g),157 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/crusty-pizza-with-salami-mushrooms-and-onion.jpg
Tuna Pizza,1 slice (125 g),318 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/tuna-at-a-market.jpg
Vegetable Pizza,1 slice (156 g),399 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Vegetarian Pizza,1 slice (156 g),399 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/vegan-pizza.jpg
Veggie Pizza,1 slice (114 g),263 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/veggies-soup.jpg
White Pizza,1 slice (232 g),571 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/basic-italian-pizza-margherita.jpg
Asian Pear,1 pear (178 g),75 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/homemade-poppy-seed-almond-cake-with-pears.jpg
Avocado,1 avocado (200 g),320 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/fresh-figs-and-avocado.jpg
Banana,1 banana (125 g),111 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/peanut-butter-and-banana-smoothie.jpg
Cantaloupe Melon,1 wedge (69 g),23 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/girl-eating-watermelon-outside.jpg
Casaba Melon,1 wedge (125 g),35 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/girl-eating-watermelon-outside.jpg
Dragon Fruit,1 dragonfruit (200 g),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/pitaya-dragon-fruit-at-a-market-in-philippines.jpg
Durian,1 durian (602 g),885 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/exotic-fruit-store-at-night.jpg
Galia Melon,1 melon (130 g),30 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/girl-eating-watermelon-outside.jpg
Grapefruit,1/2 grapefruit (123 g),52 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/grapefruit-juice.jpg
Kiwi,1 kiwi (183 g),112 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/three-layer-smoothie-from-banana-kiwi-and-strawberry-on-a-wooden-background.jpg
Mandarin Oranges,1 madarin orange (90 g),48 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/fresh-mandarins.jpg
Mango,1 mango (336 g),202 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/ripe-mango-on-a-mango-tree.jpg
Mangosteen,1 serving (80 g),58 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/09/baskets-of-rambutan-mangosteen-and-tangerines.jpg
Maraschino Cherries,1 cherry (5 g),8 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/dark-red-cherries-on-a-market.jpg
Passion Fruit,1 passion fruit (18 g),17 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/passion-fruit.jpg
Pineapple,1 pineapple (905 g),453 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/roastbeef-with-grilled-pineapple-and-greens.jpg
Pink Grapefruit,1/2 grapefruit (123 g),52 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/grapefruit-juice.jpg
Plantain,1 plantain (179 g),218 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/paleo-chicken-skewers-with-plantains.jpg
Pomegranate,1 pomegranate (282 g),234 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/02/berries.jpg
Prickly Pear,"1 pad, peeled (19 g)",8 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/08/homemade-poppy-seed-almond-cake-with-pears.jpg
Rambutan,1 rambutan (9 g),7 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/rambutan-fruit-close-up.jpg
Soursop Fruit,1 soursop fruit (625 g),413 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/09/red-apples-grapefruit-raspberries-and-other-fruits.jpg
Star Fruit,1 starfruit (91 g),28 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/08/star-fruit.jpg
Tamarind,1 tamarind (2 g),5 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/09/tamarind.jpg
Watermelon,1 wedge (286 g),86 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/girl-eating-watermelon-outside.jpg
Arby’s Grand Turkey Club,1 sandwich (233 g),489 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/woman-cutting-turkey-thigh.jpg
Arby’s Roast Beef Classic,1 burger (154 g),360 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/cutting-roastbeef.jpg
Arby’s Roast Beef Max,1 burger (154 g),360 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/cutting-roastbeef.jpg
BBQ Rib,1 rib (67 g),142 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/wooden-plate-with-lamb-ribs.jpg
Bean Burrito,1 burrito (190 g),380 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/04/mexican-burrito-with-cream.jpg
Big N’ Tasty,1 sandwich (232 g),517 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/09/tasty-chicken-tacos-with-cheese.jpg
Burger King Angry Whopper,1 burger (290 g),740 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Double Whopper,1 burger (374 g),894 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Double Whopper with Cheese,1 sandwich (399 g),994 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Original Chicken Sandwich,1 sandwich (219 g),659 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Triple Whopper,1 burger (547 g),1471 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Whopper,1 burger (291 g),672 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
Burger King Whopper Jr.,1 burger (148 g),346 cal,https://www.foodiesfeed.com/wp-content/uploads/2024/01/best-burger-in-town.jpg
